ID,intent
R364#speaker_1_08730_364#0.942_3.252,saluer
R364#speaker_1_08730_364#10.821_12.584,incomprehension
R364#speaker_1_08730_364#21.641_22.037,reponse_affirmative
R364#speaker_1_08730_364#47.658_48.753,reservation
R364#speaker_1_08730_364#64.148_65.014,reservation
R364#speaker_1_08730_364#68.751_69.921,reservation
R364#speaker_1_08730_364#73.615_74.481,reponse_affirmative
R364#speaker_1_08730_364#81.685_83.6,reservation
R364#speaker_1_08730_364#90.699_90.976,marqueur_discursif
R364#speaker_1_08730_364#109.2_110.324,renseignements
R364#speaker_1_08730_364#114.451_116.943,renseignements
R364#speaker_1_08730_364#143.226_144.138,reservation
R364#speaker_1_08730_364#150.472_154.211,reservation
R364#speaker_1_08730_364#157.65_158.607,reponse_affirmative
R364#speaker_1_08730_364#163.866_165.842,reservation
R364#speaker_1_08730_364#187.409_187.971,reponse_affirmative
R364#speaker_1_08730_364#208.393_208.962,reponse_negative
R365#speaker_1_08730_365#8.632_9.574,reponse_affirmative
R365#speaker_1_08730_365#29.917_33.452,reservation
R365#speaker_1_08730_365#39.995_42.092,reservation
R365#speaker_1_08730_365#47.628_49.999,reservation
R365#speaker_1_08730_365#60.05_61.839,reponse_indecise
R365#speaker_1_08730_365#91.307_103.918,reservation
R365#speaker_1_08730_365#133.817_136.574,reservation
R365#speaker_1_08730_365#140.633_141.636,reservation
R365#speaker_1_08730_365#163.106_164.079,reponse_affirmative
R365#speaker_1_08730_365#187.007_188.376,reponse_negative
R365#speaker_1_08730_365#192.995_195.67,saluer
R366#speaker_1_08730_366#7.173_8.207,reponse_affirmative
R366#speaker_1_08730_366#29.378_31.842,reservation
R366#speaker_1_08730_366#35.534_36.765,reponse_affirmative
R366#speaker_1_08730_366#39.166_42.541,reservation
R366#speaker_1_08730_366#48.543_49.759,reponse_affirmative
R366#speaker_1_08730_366#53.938_57.738,reservation
R366#speaker_1_08730_366#82.095_85.398,renseignements
R366#speaker_1_08730_366#96.928_101.35,renseignements
R366#speaker_1_08730_366#113.084_113.829,reponse_affirmative
R366#speaker_1_08730_366#132.203_134.336,renseignements
R366#speaker_1_08730_366#138.313_139.269,reponse_affirmative
R366#speaker_1_08730_366#141.927_144.465,renseignements
R366#speaker_1_08730_366#148.736_149.602,reponse_affirmative
R366#speaker_1_08730_366#164.649_167.188,reponse_negative#reservation
R366#speaker_1_08730_366#171.063_171.595,reponse_affirmative
R366#speaker_1_08730_366#178.453_179.912,reponse_affirmative
R366#speaker_1_08730_366#195.592_196.747,reponse_negative
R366#speaker_1_08730_366#201.662_204.68,saluer
R368#speaker_1_08730_368#8.085_8.723,reponse_affirmative
R368#speaker_1_08730_368#42.916_43.454,reponse_affirmative
R368#speaker_1_08730_368#47.794_49.27,reponse_affirmative
R368#speaker_1_08730_368#53.723_54.923,reponse_indecise
R368#speaker_1_08730_368#65.081_65.643,reponse_affirmative
R368#speaker_1_08730_368#75.036_75.659,marqueur_discursif
R368#speaker_1_08730_368#88.365_89.657,renseignements
R368#speaker_1_08730_368#93.897_96.163,reservation
R368#speaker_1_08730_368#107.666_108.122,reponse_affirmative
R368#speaker_1_08730_368#115.563_116.091,reponse_affirmative
R368#speaker_1_08730_368#125.259_126.551,renseignements
R368#speaker_1_08730_368#131.11_133.137,reservation
R368#speaker_1_08730_368#148.558_149.987,renseignements
R368#speaker_1_08730_368#159.607_162.677,reservation
R368#speaker_1_08730_368#181.204_182.344,reservation
R368#speaker_1_08730_368#187.998_188.96,reservation
R368#speaker_1_08730_368#192.406_192.921,reponse_affirmative
R368#speaker_1_08730_368#197.368_198.365,reservation
R368#speaker_1_08730_368#204.254_205.053,reservation
R368#speaker_1_08730_368#212.535_213.321,marqueur_discursif
R368#speaker_1_08730_368#218.64_218.986,reponse_affirmative
R368#speaker_1_08730_368#240.72_241.775,reponse_affirmative
R368#speaker_1_08730_368#243.091_244.057,reponse_negative
R368#speaker_1_08730_368#248.744_251.419,saluer
R370#speaker_1_08730_370#9.483_10.486,reponse_affirmative
R370#speaker_1_08730_370#34.331_35.942,reservation
R370#speaker_1_08730_370#42.54_43.951,reservation
R370#speaker_1_08730_370#47.979_49.073,reponse_affirmative
R370#speaker_1_08730_370#50.411_52.996,reservation
R370#speaker_1_08730_370#58.36_59.08,reponse_affirmative
R370#speaker_1_08730_370#63.929_64.379,reservation
R370#speaker_1_08730_370#92.983_95.187,renseignements
R370#speaker_1_08730_370#97.482_99.777,renseignements
R370#speaker_1_08730_370#127.59_128.456,reponse_affirmative
R370#speaker_1_08730_370#138.09_140.263,reservation
R370#speaker_1_08730_370#142.847_144.226,reservation
R370#speaker_1_08730_370#154.717_156.486,reservation
R370#speaker_1_08730_370#158.401_158.988,reservation
R370#speaker_1_08730_370#173.077_174.258,reponse_affirmative
R370#speaker_1_08730_370#195.241_196.213,reponse_negative
R371#speaker_1_08730_371#7.356_7.72,reponse_affirmative
R371#speaker_1_08730_371#28.42_40.036,reservation
R371#speaker_1_08730_371#41.953_51.671,renseignements#reservation
R371#speaker_1_08730_371#56.361_57.685,reponse_affirmative
R371#speaker_1_08730_371#59.828_60.573,reponse_affirmative
R371#speaker_1_08730_371#62.138_62.868,reponse_affirmative
R371#speaker_1_08730_371#75.586_80.105,renseignements
R371#speaker_1_08730_371#84.445_84.947,remercier
R371#speaker_1_08730_371#90.449_94.385,renseignements
R371#speaker_1_08730_371#97.637_98.996,renseignements
R371#speaker_1_08730_371#106.604_110.753,reservation
R371#speaker_1_08730_371#118.403_118.798,reponse_affirmative
R371#speaker_1_08730_371#123.397_125.03,reponse_affirmative
R371#speaker_1_08730_371#131.451_132.423,reponse_affirmative
R371#speaker_1_08730_371#132.423_133.213,remercier
R371#speaker_1_08730_371#136.535_137.751,reponse_affirmative
