id,intent
364_2_spk_0.942_3.252,saluer
364_4_spk_10.821_12.584,reservation
364_6_spk_21.641_24.56,reponse_affirmative
364_8_spk_47.658_51.094,reservation
364_10_spk_64.148_66.625,reservation
364_12_spk_68.751_71.867,reservation
364_14_spk_73.615_76.305,reponse_affirmative
364_16_spk_81.685_85.5,reservation
364_18_spk_90.699_90.976,marqueur_discursif
364_20_spk_109.2_111.966,renseignements
364_22_spk_114.451_116.943,renseignements
364_24_spk_143.226_148.349,reservation
364_26_spk_150.472_154.211,reservation
364_28_spk_157.65_161.343,reponse_affirmative
364_30_spk_163.866_167.917,reservation
364_32_spk_187.409_190.049,reponse_affirmative
364_34_spk_208.393_210.573,reponse_negative
365_2_spk_8.632_11.55,reponse_affirmative
365_4_spk_29.917_36.87,reservation
365_6_spk_39.995_43.642,reservation
365_8_spk_47.628_52.613,reservation
365_10_spk_60.05_63.429,reponse_indecise
365_12_spk_91.307_105.933,reservation
365_14_spk_133.817_138.192,reservation
365_16_spk_140.633_143.553,reservation
365_18_spk_163.106_166.313,reponse_affirmative
365_20_spk_187.007_188.376,reponse_negative
365_22_spk_192.995_210.290,saluer
366_2_spk_7.173_10.243,reponse_affirmative
366_4_spk_29.378_33.484,reservation
366_6_spk_35.534_36.765,reponse_affirmative
366_8_spk_39.166_44.309,reservation
366_10_spk_48.543_49.759,reponse_affirmative
366_12_spk_53.938_57.738,renseignements
366_14_spk_82.095_85.398,renseignements
366_16_spk_96.928_102.907,renseignements
366_18_spk_113.084_115.85,reponse_affirmative
366_20_spk_132.203_136.008,renseignements
366_22_spk_138.313_139.269,reponse_affirmative
366_24_spk_141.927_146.395,renseignements
366_26_spk_148.736_151.487,reponse_affirmative
366_28_spk_164.649_167.188,reponse_negative#reservation
366_30_spk_171.063_176.504,reponse_affirmative
366_32_spk_178.453_179.912,reponse_affirmative
366_35_spk_195.592_196.747,reponse_negative
366_37_spk_201.662_209.300,saluer
368_2_spk_8.085_10.912,reponse_affirmative
368_6_spk_42.916_45.292,reponse_affirmative
368_8_spk_47.794_49.27,reponse_affirmative
368_10_spk_53.723_56.717,reponse_indecise
368_12_spk_65.081_67.801,reponse_affirmative
368_14_spk_75.036_75.659,marqueur_discursif
368_16_spk_88.365_91.617,renseignements
368_18_spk_93.897_97.703,reservation
368_20_spk_107.666_110.037,reponse_affirmative
368_22_spk_115.563_116.091,reponse_affirmative
368_24_spk_125.259_128.998,renseignements
368_26_spk_131.11_134.703,reservation
368_28_spk_148.558_151.887,renseignements
368_30_spk_159.607_164.881,reservation
368_32_spk_181.204_186.007,reservation
368_34_spk_187.998_190.601,reservation
368_36_spk_192.406_194.654,reponse_affirmative
368_38_spk_197.368_200.812,reservation
368_40_spk_204.254_207.561,reservation
368_42_spk_212.535_213.321,marqueur_discursif
368_44_spk_218.64_220.762,reponse_affirmative
368_46_spk_240.72_241.775,reponse_affirmative
368_48_spk_243.091_244.057,reponse_negative
368_50_spk_248.744_256.100,saluer
370_2_spk_9.483_12.705,reponse_affirmative
370_4_spk_34.331_39.924,reservation
370_6_spk_42.54_45.875,reservation
370_8_spk_47.979_49.073,reponse_affirmative
370_10_spk_50.411_54.521,reservation
370_12_spk_58.36_60.889,reponse_affirmative
370_14_spk_63.929_67.586,reservation
370_16_spk_92.983_95.187,renseignements
370_18_spk_97.482_104.631,renseignements
370_20_spk_127.59_136.099,reponse_affirmative
370_22_spk_138.09_140.263,reservation
370_24_spk_142.847_144.226,reservation
370_26_spk_154.717_161.551,reservation
370_28_spk_173.077_174.258,reponse_affirmative
370_30_spk_195.241_196.213,reponse_negative
371_2_spk_7.356_10.122,reponse_affirmative
371_4_spk_28.42_53.191,renseignements#reservation
371_6_spk_56.361_57.685,reponse_affirmative
371_8_spk_59.828_60.573,reponse_affirmative
371_10_spk_62.138_62.868,reponse_affirmative
371_12_spk_75.586_81.761,renseignements
371_14_spk_84.445_86.836,remercier
371_16_spk_90.449_98.996,renseignements
371_18_spk_106.604_115.267,reservation
371_20_spk_118.403_118.798,reponse_affirmative
371_22_spk_123.397_125.03,reponse_affirmative
371_24_spk_131.451_132.423,reponse_affirmative
371_25_spk_132.423_133.213,remercier
371_27_spk_136.535_137.751,reponse_affirmative
371_29_spk_140.608_141.679,marqueur_discursif
371_31_spk_144.377_145.927,reponse_negative
371_33_spk_149.909_156.900,saluer
373_2_spk_9.605_10.912,reponse_negative
373_4_spk_13.313_17.477,reservation
373_6_spk_19.544_23.07,reservation
373_8_spk_26.307_30.973,reponse_negative#reservation
373_10_spk_34.165_39.363,reservation
373_12_spk_44.15_48.616,reservation
373_14_spk_58.573_59.698,reponse_affirmative
373_16_spk_74.844_78.157,renseignements
373_18_spk_80.376_85.036,reservation
373_20_spk_111.036_115.565,reponse_affirmative
373_22_spk_117.763_124.663,reservation
373_24_spk_127.535_133.896,reservation
373_26_spk_138.911_139.893,marqueur_discursif
373_28_spk_144.619_147.408,reponse_affirmative
373_30_spk_167.106_168.115,reponse_negative
373_32_spk_172.243_181.270,saluer
374_2_spk_15.38_19.179,reponse_negative
374_4_spk_21.094_26.596,reservation
374_6_spk_30.535_34.031,reservation
374_8_spk_36.827_37.907,reponse_affirmative
374_10_spk_40.383_45.307,reservation
374_12_spk_49.163_50.424,reponse_affirmative
374_14_spk_77.295_82.994,reponse_affirmative
374_16_spk_85.903_88.618,reponse_affirmative
374_18_spk_91.245_94.286,reservation
374_20_spk_96.2_102.996,reservation
374_22_spk_105.9_109.38,reservation
374_24_spk_122.833_125.843,reservation
374_26_spk_145.681_148.462,reponse_affirmative
374_28_spk_170.206_171.787,reponse_negative
375_2_spk_8.48_12.888,reponse_affirmative
375_4_spk_34.037_42.177,reservation
375_6_spk_45.308_48.506,reservation
375_8_spk_51.539_57.163,reservation
375_10_spk_60.78_62.093,reponse_affirmative
375_12_spk_64.747_70.355,reservation
375_14_spk_93.595_97.259,renseignements
375_16_spk_99.919_104.068,renseignements
375_18_spk_119.92_126.849,renseignements#reponse_affirmative
375_20_spk_138.726_152.801,reponse_affirmative#reservation
375_22_spk_155.941_157.173,reponse_affirmative
375_24_spk_172.34_173.795,reponse_affirmative
375_26_spk_183.274_185.052,reponse_affirmative
375_28_spk_187.006_188.252,reponse_affirmative
375_30_spk_191.018_192.164,reponse_affirmative
375_31_spk_192.164_192.863,marqueur_discursif
375_33_spk_194.422_196.519,reponse_negative
375_35_spk_200.775_211.960,remercier#saluer
420_2_spk_6.839_9.666,reponse_affirmative
420_4_spk_28.958_42.356,reservation
420_6_spk_54.784_61.784,reservation
420_8_spk_81.108_92.88,renseignements
420_10_spk_114.681_124.675,reservation
420_12_spk_151.588_157.493,renseignements
420_14_spk_166.764_178.254,reservation
420_16_spk_203.226_208.046,renseignements
420_18_spk_214.186_222.174,modification#reservation
420_19_spk_222.174_224.241,reservation
420_22_spk_235.6_253.611,renseignements#reservation
420_24_spk_266.206_277.989,renseignements#reponse_negative
420_26_spk_292.079_294.443,reponse_affirmative
420_28_spk_311.126_325.775,reservation
420_30_spk_335.535_336.879,reponse_affirmative
420_32_spk_363.563_365.013,reponse_negative
420_34_spk_368.73_380.250,saluer
425_2_spk_7.082_12.979,reponse_negative
425_3_spk_12.979_13.83,reponse_negative
425_5_spk_14.711_31.019,reservation
425_7_spk_43.432_46.928,reponse_negative#reservation
425_10_spk_54.452_55.06,reponse_affirmative
425_12_spk_69.3_74.856,renseignements
425_14_spk_77.759_83.781,reservation
425_16_spk_101.367_106.119,reponse_affirmative#reservation
425_18_spk_108.679_112.639,renseignements
425_20_spk_128.521_136.12,reservation
425_22_spk_150.67_153.131,reponse_affirmative
425_24_spk_155.518_159.058,reservation
425_26_spk_162.245_165.483,reservation
425_28_spk_181.745_182.784,reponse_affirmative
425_30_spk_205.893_208.142,reponse_negative
426_2_spk_6.109_7.477,reponse_negative
426_4_spk_12.28_24.073,reservation
426_6_spk_27.143_32.174,reservation
426_8_spk_52.068_55.233,renseignements
426_10_spk_68.055_77.62,renseignements
426_12_spk_80.103_85.889,reservation
426_14_spk_103.466_111.437,reponse_affirmative
426_16_spk_124.639_130.137,reponse_negative
426_18_spk_135.061_141.004,reponse_negative#reservation
426_20_spk_155.239_156.531,reponse_negative
426_22_spk_159.008_162.474,reponse_negative
427_2_spk_11.185_14.833,reponse_affirmative
427_4_spk_34.503_44.974,reservation
427_6_spk_53.881_59.889,reservation
427_8_spk_84.23_88.449,reservation
427_10_spk_101.738_106.671,modification#reponse_negative
427_12_spk_109.58_113.599,renseignements
427_14_spk_123.334_128.927,renseignements
427_17_spk_144.654_153.299,modification#reponse_negative
427_19_spk_162.633_172.699,renseignements
427_21_spk_184.691_187.765,reservation
427_23_spk_203.008_206.549,reponse_affirmative
427_25_spk_224.665_226.316,reponse_affirmative
427_27_spk_229.066_249.698,reservation
427_29_spk_270.187_284.769,renseignements#reponse_negative#reservation
427_31_spk_310.304_320.224,renseignements#reservation
427_33_spk_348.079_351.404,reponse_affirmative#reservation
427_35_spk_364.053_367.875,reservation
427_37_spk_377.702_381.858,reponse_affirmative
427_39_spk_400.698_408.922,reponse_affirmative#reservation
427_41_spk_425.335_433.025,reservation
427_43_spk_447.652_454.12,reservation
427_45_spk_473.513_486.325,reponse_affirmative#reservation
427_47_spk_512.307_518.143,renseignements
427_49_spk_523.109_524.284,reponse_affirmative
427_51_spk_555.596_557.207,reponse_negative
427_53_spk_561.159_568.180,saluer
428_2_spk_8.784_11.581,reponse_negative
428_4_spk_13.83_23.191,reservation
428_6_spk_25.923_28.71,reservation
428_8_spk_31.415_34.917,reservation
428_10_spk_41.592_44.522,reservation
428_12_spk_76.102_83.944,reservation
428_14_spk_86.574_88.175,reservation
428_16_spk_91.626_95.146,reservation
428_18_spk_97.623_100.511,reservation
428_20_spk_113.734_114.813,reponse_affirmative
428_22_spk_118.071_121.505,reservation
428_24_spk_123.628_133.582,reservation
428_26_spk_143.163_148.163,reponse_negative
428_28_spk_150.382_151.482,reponse_affirmative
428_30_spk_155.646_159.511,reservation
428_32_spk_177.243_178.428,reponse_affirmative
428_34_spk_197.793_198.948,reponse_negative
428_36_spk_202.777_211.440,saluer
429_2_spk_8.298_11.216,reponse_affirmative
429_4_spk_29.189_42.654,reservation
429_6_spk_46.292_48.976,reponse_negative#reservation
429_7_spk_48.976_55.724,reponse_negative#reservation
429_9_spk_60.718_62.158,reponse_affirmative
429_11_spk_86.044_91.262,reservation
429_13_spk_106.536_112.858,annulation
429_15_spk_114.53_117.813,remercier#reponse_negative
429_17_spk_121.308_130.670,saluer
450_2_spk_6.383_9.483,reponse_affirmative
450_4_spk_25.06_34.878,reservation
450_5_spk_34.878_37.208,reservation
450_7_spk_38.662_43.651,reservation
450_9_spk_45.668_53.963,reservation
450_11_spk_66.077_68.936,renseignements
450_12_spk_68.936_70.0,incomprehension
450_14_spk_71.34_79.635,reservation
450_16_spk_96.097_98.742,reponse_affirmative
450_18_spk_115.323_124.366,reservation
450_20_spk_149.17_157.839,reponse_indecise#reservation
450_22_spk_159.915_162.499,reservation
450_24_spk_173.867_182.621,reponse_affirmative
450_26_spk_192.839_193.917,remercier
450_27_spk_193.917_195.376,saluer
450_29_spk_200.465_204.568,reponse_indecise
450_31_spk_207.06_214.416,remercier#reponse_negative
450_33_spk_217.03_218.337,reponse_affirmative
451_2_spk_7.325_11.307,reponse_affirmative
451_4_spk_27.28_28.268,marqueur_discursif
451_6_spk_30.584_51.472,reservation
451_8_spk_76.462_92.283,reservation
451_10_spk_111.018_118.15,reservation
451_12_spk_133.991_142.122,renseignements
451_14_spk_147.137_150.381,reservation
451_17_spk_163.283_164.59,incomprehension
451_18_spk_164.59_169.119,incomprehension
451_21_spk_171.637_181.242,reservation
451_23_spk_201.962_208.158,renseignements
451_25_spk_218.158_222.733,renseignements
451_28_spk_227.267_228.812,reservation
451_29_spk_228.812_233.317,reponse_affirmative
451_31_spk_236.153_239.876,reponse_affirmative
451_33_spk_249.032_253.169,reponse_affirmative
451_35_spk_256.548_258.934,reservation
451_37_spk_261.609_272.902,renseignements#reservation
451_39_spk_293.967_302.402,reservation
451_41_spk_306.49_314.87,reponse_affirmative#reservation
451_43_spk_331.069_332.261,reponse_affirmative
451_45_spk_351.054_351.814,reponse_negative
452_2_spk_10.091_12.918,reponse_negative
452_4_spk_16.505_35.81,reservation
452_6_spk_41.926_42.893,reponse_affirmative
452_8_spk_59.661_64.901,reservation
452_10_spk_68.093_72.819,reservation
452_12_spk_92.051_96.569,reservation
452_14_spk_116.229_119.707,renseignements
452_16_spk_138.744_141.204,reservation
452_18_spk_143.282_146.656,reponse_negative
453_2_spk_9.544_11.884,reponse_negative
453_4_spk_13.799_19.179,reservation
453_6_spk_24.635_28.638,reservation
453_8_spk_39.764_41.033,reservation
453_10_spk_53.193_56.746,renseignements
453_12_spk_58.68_65.738,reservation
453_14_spk_86.782_89.689,renseignements
453_16_spk_91.934_94.478,renseignements
453_18_spk_115.632_120.802,renseignements
453_20_spk_125.511_129.343,renseignements
453_22_spk_141.658_144.92,reponse_affirmative
453_24_spk_147.2_148.857,reservation
453_26_spk_154.009_156.466,reservation
453_28_spk_173.875_177.028,reponse_affirmative#reservation
453_30_spk_200.106_201.321,reponse_negative
454_2_spk_6.869_9.362,reponse_affirmative
454_4_spk_29.195_32.742,reservation
454_6_spk_37.949_47.296,reservation
454_8_spk_49.794_53.035,reservation
454_10_spk_54.485_55.23,reponse_affirmative
454_12_spk_58.263_59.401,reponse_affirmative
454_14_spk_62.623_64.858,reservation
454_16_spk_86.383_88.748,renseignements
454_18_spk_92.34_96.231,renseignements
454_20_spk_119.081_121.36,reservation
454_22_spk_128.854_130.448,reservation
454_24_spk_134.721_136.231,reservation
454_26_spk_141.287_143.755,reservation
454_28_spk_161.358_166.151,reponse_negative
454_30_spk_168.258_170.902,reponse_affirmative
454_32_spk_173.386_175.459,reservation
454_34_spk_188.356_190.609,reponse_affirmative
454_36_spk_205.819_207.512,reponse_affirmative
454_38_spk_210.855_215.055,reservation
454_40_spk_220.866_223.593,reservation
454_42_spk_231.702_234.356,reservation
454_44_spk_236.514_237.699,reponse_affirmative
454_46_spk_246.377_248.055,reservation
